Név;Év;Hónap;Nap
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
Nagy Gábor;1991;Szeptember;25
